t_ms,M1_speed_ref,M1_speed_fb,M1_iq_ref,M1_iq,M1_mech_angle,M2_speed_ref,M2_speed_fb,M2_iq_ref,M2_iq,M2_mech_angle
0.0,0.000000,0.000000,0.000000,0.000351,3.301894,0.000000,0.000000,0.000000,-0.001610,2.172117
10.0,0.000000,0.000000,0.000000,0.000351,3.301894,0.000000,0.000000,0.000000,0.000000,2.172117
20.0,0.000000,0.000000,0.000000,0.000000,3.301894,0.000000,0.000000,0.000000,0.000000,2.172117
30.0,0.000000,0.000000,0.000000,0.000351,3.301894,0.000000,0.000000,0.000000,-0.001610,2.172117
40.0,0.000000,0.000000,0.000000,0.000000,3.301894,0.000000,0.000000,0.000000,0.000807,2.172117
50.0,0.000000,0.000000,0.000000,0.000000,3.301894,0.000000,0.000000,0.000000,0.000000,2.172117
60.0,0.000000,0.000000,0.000000,0.000351,3.301894,0.000000,0.000000,0.000000,-0.000803,2.172117
70.0,0.000000,0.000000,0.000000,-0.000351,3.301894,0.000000,0.000000,0.000000,0.000805,2.172117
80.0,0.000000,0.000000,0.000000,0.000000,3.301894,0.000000,0.000000,0.000000,0.000000,2.172117
90.0,0.000000,0.000000,0.000000,0.000000,3.301894,0.000000,0.000000,0.000000,-0.001612,2.172117
100.0,0.000000,0.000000,0.000000,-0.001141,3.301894,0.000000,0.000000,0.000000,-0.000805,2.172117
110.0,0.000000,0.000000,0.000000,0.000351,3.301894,0.000000,0.000000,0.000000,0.000000,2.172117
120.0,0.000000,0.000000,0.000000,0.000351,3.301894,0.000000,0.000000,0.000000,-0.000805,2.172117
130.0,0.000000,0.000000,0.000000,0.000351,3.301894,0.000000,0.000000,0.000000,0.000000,2.172117
140.0,0.000000,0.000000,0.000000,0.000000,3.301894,0.000000,0.000000,0.000000,0.000807,2.172117
150.0,0.000000,0.000000,0.000000,-0.000571,3.301894,0.000000,0.000000,0.000000,0.001610,2.172117
160.0,0.000000,0.000000,0.000000,0.000351,3.301894,0.000000,0.000000,0.000000,0.000000,2.172117
170.0,0.000000,0.000000,0.000000,-0.000571,3.301894,0.000000,0.000000,0.000000,-0.000805,2.172117
180.0,0.000000,0.000000,0.000000,0.000571,3.301894,0.000000,0.000000,0.000000,0.000807,2.172117
190.0,0.000000,0.000000,0.000000,0.000000,3.301894,0.000000,0.000000,0.000000,0.000000,2.172117
200.0,0.000000,0.000000,0.000000,0.000000,3.301894,0.000000,0.000000,0.000000,-0.001610,2.172117
210.0,0.000000,0.000000,0.000000,0.000351,3.301894,0.000000,0.000000,0.000000,0.000805,2.172117
220.0,0.000000,0.000000,0.000000,0.000922,3.301894,0.000000,0.000000,0.000000,-0.000805,2.172117
230.0,0.000000,0.000000,0.000000,-0.000571,3.301894,0.000000,0.000000,0.000000,0.000000,2.172117
240.0,0.000000,0.000000,0.000000,0.000000,3.301894,0.000000,0.000000,0.000000,-0.000805,2.172117
250.0,0.000000,0.000000,0.000000,-0.000220,3.301894,0.000000,0.000000,0.000000,0.000000,2.172117
260.0,0.000000,0.000000,0.000000,0.000351,3.301894,0.000000,0.000000,0.000000,-0.000805,2.172117
270.0,0.000000,0.000000,0.000000,0.000702,3.301894,0.000000,0.000000,0.000000,-0.000805,2.172117
280.0,0.000000,0.000000,0.000000,0.000000,3.301894,0.000000,0.000000,0.000000,0.000000,2.172117
290.0,0.000000,0.000000,0.000000,-0.000571,3.301894,0.000000,0.000000,0.000000,-0.000807,2.172117
300.0,0.000000,0.000000,0.000000,0.000000,3.301894,0.000000,0.000000,0.000000,0.000002,2.172117
310.0,0.000000,0.000000,0.000000,-0.000571,3.301894,0.000000,0.000000,0.000000,0.000805,2.172117
320.0,0.000000,0.000000,0.000000,0.000000,3.301894,0.000000,0.000000,0.000000,-0.002417,2.172117
330.0,0.000000,0.000000,0.000000,0.000000,3.301894,0.000000,0.000000,0.000000,-0.000807,2.172117
340.0,0.000000,0.000000,0.000000,-0.001141,3.301894,0.000000,0.000000,0.000000,0.000000,2.172117
350.0,0.000000,0.000000,0.000000,0.000000,3.301894,0.000000,0.000000,0.000000,0.000000,2.172117
360.0,0.000000,0.000000,0.000000,-0.000571,3.301894,0.000000,0.000000,0.000000,0.000807,2.172117
370.0,0.000000,0.000000,0.000000,0.000922,3.301894,0.000000,0.000000,0.000000,0.000805,2.172117
380.0,0.000000,0.000000,0.000000,-0.000571,3.301894,0.000000,0.000000,0.000000,0.000808,2.172117
390.0,0.000000,0.000000,0.000000,0.000000,3.301894,0.000000,0.000000,0.000000,0.000805,2.172117
400.0,0.000000,0.000000,0.000000,0.000000,3.301894,0.000000,0.000000,0.000000,0.000000,2.172117
410.0,0.000000,0.000000,0.000000,-0.000571,3.301894,0.000000,0.000000,0.000000,-0.001613,2.172117
420.0,0.000000,0.000000,0.000000,-0.000571,3.301894,0.000000,0.000000,0.000000,0.000002,2.172117
430.0,0.000000,0.000000,0.000000,0.001141,3.301894,0.000000,0.000000,0.000000,0.000002,2.172117
440.0,0.000000,0.000000,0.000000,-0.000571,3.301894,0.000000,0.000000,0.000000,0.000807,2.172117
450.0,0.000000,0.000000,0.000000,0.000000,3.301894,0.000000,0.000000,0.000000,0.001612,2.172117
460.0,0.000000,0.000000,0.000000,0.000000,3.301894,0.000000,0.000000,0.000000,0.000805,2.172117
470.0,0.000000,0.000000,0.000000,0.000000,3.301894,0.000000,0.000000,0.000000,0.000000,2.172117
480.0,0.000000,0.000000,0.000000,-0.000351,3.301894,0.000000,0.000000,0.000000,0.000002,2.172117
490.0,0.000000,0.000000,0.000000,0.000571,3.301894,0.000000,0.000000,0.000000,-0.000805,2.172117
500.0,0.000000,0.000000,0.000000,-0.000571,3.301894,0.000000,0.000000,0.000000,0.000807,2.172117
510.0,0.000000,0.000000,0.000000,0.000351,3.301894,0.000000,0.000000,0.000000,0.000805,2.172117
520.0,0.000000,0.000000,0.000000,0.000351,3.301894,0.000000,0.000000,0.000000,0.000807,2.172117
530.0,0.000000,0.000000,0.000000,0.000571,3.301894,0.000000,0.000000,0.000000,0.000000,2.172117
540.0,0.000000,0.000000,0.000000,0.000220,3.301894,0.000000,0.000000,0.000000,-0.000805,2.172117
550.0,0.000000,0.000000,0.000000,-0.001273,3.301894,0.000000,0.000000,0.000000,0.000000,2.172117
560.0,0.000000,0.000000,0.000000,0.000351,3.301894,0.000000,0.000000,0.000000,0.000002,2.172117
570.0,0.000000,0.000000,0.000000,0.000000,3.301894,0.000000,0.000000,0.000000,0.000807,2.172117
580.0,0.000000,0.000000,0.000000,0.000351,3.301894,0.000000,0.000000,0.000000,0.000807,2.172117
590.0,0.000000,0.000000,0.000000,0.000000,3.301894,0.000000,0.000000,0.000000,0.002418,2.172117
600.0,0.000000,0.000000,0.000000,0.000571,3.301894,0.000000,0.000000,0.000000,0.000002,2.172117
610.0,0.000000,0.000000,0.000000,0.000000,3.301894,0.000000,0.000000,0.000000,0.001612,2.172117
620.0,0.000000,0.000000,0.000000,0.000000,3.301894,0.000000,0.000000,0.000000,0.000002,2.172117
630.0,0.000000,0.000000,0.000000,0.000000,3.301894,0.000000,0.000000,0.000000,0.002417,2.172117
640.0,0.000000,0.000000,0.000000,-0.000922,3.301894,0.000000,0.000000,0.000000,0.000002,2.172117
650.0,0.000000,0.000000,0.000000,0.000000,3.301894,0.000000,0.000000,0.000000,0.001613,2.172117
660.0,0.000000,0.000000,0.000000,0.000000,3.301894,0.000000,0.000000,0.000000,0.000002,2.172117
670.0,0.000000,0.000000,0.000000,0.000571,3.301894,0.000000,0.000000,0.000000,-0.002417,2.172117
680.0,0.000000,0.000000,0.000000,0.000000,3.301894,0.000000,0.000000,0.000000,0.000000,2.172117
690.0,0.000000,0.000000,0.000000,0.000000,3.301894,0.000000,0.000000,0.000000,0.000000,2.172117
700.0,0.000000,0.000000,0.000000,-0.000571,3.301894,0.000000,0.000000,0.000000,-0.000805,2.172117
710.0,0.000000,0.000000,0.000000,0.000571,3.301894,0.000000,0.000000,0.000000,0.000000,2.172117
