t_ms,M1_speed_ref,M1_speed_fb,M1_iq_ref,M1_iq,M1_mech_angle,M2_speed_ref,M2_speed_fb,M2_iq_ref,M2_iq,M2_mech_angle
0.0,0.000000,-0.000574,0.000000,0.000700,3.069112,0.000000,0.001257,0.000000,0.000000,2.177102
10.0,0.000000,-0.001202,0.000000,0.000700,3.069112,0.000000,0.000628,0.000000,0.000821,2.177102
20.0,0.000000,-0.000492,0.000000,0.000000,3.069112,0.000000,-0.000109,0.000000,0.000000,2.177102
30.0,0.000000,0.000410,0.000000,-0.000881,3.069112,0.000000,-0.001011,0.000000,0.000790,2.177102
40.0,0.000000,0.001148,0.000000,0.000881,3.069112,0.000000,-0.001011,0.000000,0.000000,2.177102
50.0,0.000000,0.000656,0.000000,-0.001581,3.069112,0.000000,-0.000109,0.000000,0.002401,2.177102
60.0,0.000000,-0.000082,0.000000,-0.000700,3.069112,0.000000,0.000628,0.000000,0.000000,2.177102
70.0,0.000000,-0.000983,0.000000,0.000000,3.069112,0.000000,0.001257,0.000000,0.001611,2.177102
80.0,0.000000,-0.000983,0.000000,0.000700,3.069112,0.000000,0.000546,0.000000,0.000000,2.177102
90.0,0.000000,-0.000082,0.000000,-0.000881,3.069112,0.000000,-0.000355,0.000000,0.000821,2.177102
100.0,0.000000,0.000656,0.000000,0.000000,3.069112,0.000000,-0.001093,0.000000,0.000000,2.177102
110.0,0.000000,0.001148,0.000000,0.001400,3.069112,0.000000,-0.000765,0.000000,0.000790,2.177102
120.0,0.000000,0.000410,0.000000,0.000000,3.069112,0.000000,-0.000027,0.000000,0.001611,2.177102
130.0,0.000000,-0.000492,0.000000,-0.000700,3.069112,0.000000,0.000874,0.000000,-0.000031,2.177102
140.0,0.000000,-0.001202,0.000000,-0.001581,3.069112,0.000000,0.001202,0.000000,-0.000821,2.177102
150.0,0.000000,-0.000574,0.000000,0.000881,3.069112,0.000000,0.000300,0.000000,0.000821,2.177102
160.0,0.000000,0.000164,0.000000,0.001400,3.069112,0.000000,-0.000437,0.000000,-0.000821,2.177102
170.0,0.000000,0.000984,0.000000,-0.000700,3.069112,0.000000,-0.001230,0.000000,-0.000821,2.177102
180.0,0.000000,0.000820,0.000000,-0.000700,3.069112,0.000000,-0.000601,0.000000,-0.000821,2.177102
190.0,0.000000,0.000082,0.000000,0.000700,3.069112,0.000000,0.000137,0.000000,0.000821,2.177102
200.0,0.000000,-0.000819,0.000000,0.000881,3.069112,0.000000,0.001038,0.000000,0.000790,2.177102
210.0,0.000000,-0.001147,0.000000,0.000700,3.069112,0.000000,0.001038,0.000000,0.000790,2.177102
220.0,0.000000,-0.000246,0.000000,0.000000,3.069112,0.000000,0.000137,0.000000,0.000000,2.177102
230.0,0.000000,0.000492,0.000000,0.000000,3.069112,0.000000,-0.000601,0.000000,0.000000,2.177102
240.0,0.000000,0.001230,0.000000,0.000000,3.069112,0.000000,-0.001230,0.000000,0.000790,2.177102
250.0,0.000000,0.000574,0.000000,0.002281,3.069112,0.000000,-0.000519,0.000000,0.000000,2.177102
260.0,0.000000,-0.000328,0.000000,-0.000881,3.069112,0.000000,0.000382,0.000000,-0.000031,2.177102
270.0,0.000000,-0.001065,0.000000,0.000000,3.069112,0.000000,0.001120,0.000000,-0.000031,2.177102
280.0,0.000000,-0.000737,0.000000,0.000700,3.069112,0.000000,0.000792,0.000000,-0.001611,2.177102
290.0,0.000000,0.000000,0.000000,-0.000700,3.069112,0.000000,0.000055,0.000000,0.000000,2.177102
300.0,0.000000,0.000902,0.000000,-0.000700,3.069112,0.000000,-0.000847,0.000000,-0.000031,2.177102
310.0,0.000000,0.001066,0.000000,0.000700,3.069112,0.000000,-0.001175,0.000000,0.000000,2.177102
320.0,0.000000,0.000164,0.000000,-0.000881,3.069112,0.000000,-0.000273,0.000000,0.000790,2.177102
