t_ms,M1_speed_ref,M1_speed_fb,M1_iq_ref,M1_iq,M1_mech_angle,M2_speed_ref,M2_speed_fb,M2_iq_ref,M2_iq,M2_mech_angle
0.0,0.000000,-0.002494,0.000000,0.000340,0.158384,0.000057,0.006158,-0.022917,-0.022810,3.141593
5.0,0.000000,0.012447,0.000000,0.000581,0.158384,-0.000086,0.009482,-0.023114,-0.023740,3.141593
10.0,0.000000,0.011972,0.000000,0.000000,0.158384,0.000072,-0.014781,-0.021996,-0.021397,3.141593
15.0,0.000000,0.003035,0.000000,0.000000,0.158384,0.000014,0.006913,-0.022960,-0.022810,3.141593
20.0,0.000000,-0.001336,0.000000,0.000000,0.158384,0.000057,-0.015717,-0.021936,-0.022327,3.141593
25.0,0.000000,0.000150,0.000000,0.000581,0.158384,-0.000029,0.005963,-0.022925,-0.022810,3.141593
30.0,0.000000,0.004799,0.000000,0.000000,0.158384,0.000000,0.004613,-0.022850,-0.022810,3.141593
35.0,0.000000,-0.007576,0.000000,0.000340,0.158384,0.000000,0.002497,-0.022760,-0.022810,3.141593
40.0,0.000000,-0.011048,0.000000,0.000000,0.158384,-0.000029,0.007676,-0.023006,-0.022327,3.141593
45.0,0.000000,-0.007969,0.000000,-0.000340,0.158384,-0.000086,0.002995,-0.022834,-0.022810,3.141593
50.0,0.000000,-0.012766,0.000000,0.000679,0.158384,0.000057,0.001223,-0.022713,-0.022810,3.141593
55.0,0.000000,-0.001963,0.000000,0.000000,0.158384,-0.000014,0.007345,-0.022989,-0.022810,3.141593
60.0,0.000000,-0.003870,0.000000,-0.000581,0.158384,-0.000014,-0.002005,-0.022579,-0.022327,3.141593
65.0,0.000000,-0.006711,0.000000,0.000000,0.158384,-0.000029,-0.011008,-0.022183,-0.022810,3.141593
70.0,0.000000,0.005272,0.000000,-0.000581,0.158384,0.000014,0.003252,-0.022792,-0.023740,3.141593
75.0,0.000000,0.018589,0.000000,0.000000,0.158384,-0.000029,-0.004390,-0.022452,-0.022810,3.141593
80.0,0.000000,0.010145,0.000000,0.000000,0.158384,-0.000014,-0.017451,-0.021897,-0.021880,3.141593
85.0,0.000000,-0.019957,0.000000,0.000000,0.158384,0.000029,0.005226,-0.022876,-0.022810,3.141593
90.0,0.000000,-0.008025,0.000000,0.000000,0.158384,0.000043,0.003981,-0.022811,-0.022810,3.141593
95.0,0.000000,0.002712,0.000000,0.000000,0.158384,-0.000014,0.009921,-0.023086,-0.022327,3.141593
100.0,0.000000,-0.001572,0.000000,0.000000,0.158384,0.000043,-0.000181,-0.022635,-0.021880,3.141593
105.0,0.000000,0.002551,0.000000,0.000000,0.158384,-0.000014,0.003911,-0.022840,-0.022327,3.141593
110.0,0.000000,0.008744,0.000000,0.000000,0.158384,-0.000100,-0.004040,-0.022537,-0.022810,3.141593
115.0,0.000000,-0.002399,0.000000,0.000000,0.158384,0.000014,-0.000289,-0.022674,-0.021397,3.141593
120.0,0.000000,-0.000710,0.000000,0.000000,0.158384,0.000100,-0.010868,-0.022176,-0.022810,3.141593
125.0,0.000000,0.001191,0.000000,0.000000,0.158384,0.000029,-0.002724,-0.022529,-0.021844,3.141593
130.0,0.000000,0.001791,0.000000,0.000000,0.158384,-0.000014,-0.005555,-0.022424,-0.022810,3.141593
135.0,0.000000,0.001291,0.000000,0.000000,0.158384,0.000029,0.000930,-0.022687,-0.018606,3.141593
140.0,0.000000,0.009071,0.000000,0.000000,0.158384,-0.000186,-0.004051,-0.022575,-0.021880,3.141593
