t_ms,M1_pos_ref,M1_pos_est,M1_speed_fb,M1_iq,M1_speed_ref,M2_pos_ref,M2_pos_est,M2_speed_fb,M2_iq,M2_speed_ref
0.0,0.000000,-0.152631,0.002453,0.000000,0.000000,0.000000,3.192980,0.005911,0.000000,0.000000
5.0,0.000000,-0.152628,0.017644,0.000000,0.000000,0.000000,3.192983,0.010789,0.000000,0.000000
10.0,0.000000,-0.152628,0.010146,0.000000,0.000000,0.000000,3.192983,0.007902,0.000000,0.000000
15.0,0.000000,-0.152630,-0.001562,0.000000,0.000000,0.000000,3.192983,0.009290,0.000000,0.000000
20.0,0.000000,-0.152632,-0.003793,0.000000,0.000000,0.000000,3.192981,-0.006947,0.000000,0.000000
25.0,0.000000,-0.152632,-0.002946,0.000000,0.000000,0.000000,3.192980,-0.000260,-0.000172,0.000000
30.0,0.000000,-0.152632,-0.001846,-0.000304,0.000000,0.000000,3.192981,0.000450,-0.000878,0.000000
35.0,0.000000,-0.152632,-0.001640,0.000000,0.000000,0.000000,3.192984,0.014324,-0.000172,0.000000
40.0,0.000000,-0.152631,0.001201,0.000000,0.000000,0.000000,3.192986,0.029020,0.000000,0.000000
45.0,0.000000,-0.152631,-0.002061,-0.000304,0.000000,0.000000,3.192984,0.000172,0.000000,0.000000
50.0,0.000000,-0.152631,-0.000625,0.000000,0.000000,0.000000,3.192982,-0.000644,0.000000,0.000000
55.0,0.000000,-0.152631,0.001435,0.000000,0.000000,0.000000,3.192977,-0.024391,0.000000,0.000000
60.0,0.000000,-0.152631,0.001793,0.000304,0.000000,0.000000,3.192978,-0.008896,-0.000878,0.000000
65.0,0.000000,-0.152630,0.002966,0.000000,0.000000,0.000000,3.192979,-0.014684,-0.000878,0.000000
70.0,0.000000,-0.152631,0.000066,0.000000,0.000000,0.000000,3.192978,-0.008547,0.000000,0.000000
75.0,0.000000,-0.152630,0.002999,0.000000,0.000000,0.000000,3.192977,-0.014794,0.000000,0.000000
80.0,0.000000,-0.152632,-0.007999,0.000000,0.000000,0.000000,3.192981,0.015958,0.000000,0.000000
