t_ms,speed_fb,iq,speed_ref
0.0,0.029632,0.000822,50.000000,0.000006
1.0,10.249484,0.752672,50.000000,0.000416
2.0,15.340002,0.579655,50.000000,0.001648
3.0,20.043566,0.529973,50.000000,0.002530
4.0,25.899038,0.465245,50.000000,0.002486
5.0,32.111534,0.380579,50.000000,0.001856
6.0,38.359135,0.288425,50.000000,0.000836
7.0,44.562019,0.197715,50.000000,-0.000475
8.0,49.305832,0.106609,50.000000,-0.001502
9.0,52.216259,0.034866,50.000000,-0.002077
10.0,53.651932,-0.008001,50.000000,-0.002243
11.0,54.019711,-0.031377,50.000000,-0.002126
12.0,53.062969,-0.038692,50.000000,-0.001592
13.0,51.700516,-0.024977,50.000000,-0.000935
14.0,49.653645,-0.006099,50.000000,-0.000057
15.0,47.754337,0.026103,50.000000,0.000778
16.0,46.276779,0.054921,50.000000,0.001456
17.0,45.257744,0.075370,50.000000,0.001954
18.0,44.665123,0.089786,50.000000,0.002294
19.0,44.377838,0.101118,50.000000,0.002517
20.0,45.000931,0.106518,50.000000,0.002400
21.0,45.841999,0.095219,50.000000,0.002166
22.0,46.652332,0.085910,50.000000,0.001936
23.0,47.972462,0.073104,50.000000,0.001501
24.0,48.504578,0.057298,50.000000,0.001325
25.0,49.283257,0.045593,50.000000,0.001045
26.0,50.038528,0.036230,50.000000,0.000771
27.0,49.883842,0.023742,50.000000,0.000816
28.0,50.073025,0.026054,50.000000,0.000736
29.0,49.625820,0.021032,50.000000,0.000873
30.0,49.052273,0.029842,50.000000,0.001083
31.0,49.229389,0.037900,50.000000,0.001022
32.0,48.268436,0.035458,50.000000,0.001373
33.0,47.727215,0.050786,50.000000,0.001586
34.0,48.203213,0.058205,50.000000,0.001434
35.0,48.304878,0.051124,50.000000,0.001407
36.0,48.216972,0.050513,50.000000,0.001444
37.0,48.058430,0.050820,50.000000,0.001506
38.0,47.932964,0.054345,50.000000,0.001569
39.0,47.797653,0.054985,50.000000,0.001622
40.0,48.456882,0.057939,50.000000,0.001400
41.0,48.583271,0.048725,50.000000,0.001357
42.0,49.167820,0.047218,50.000000,0.001144
43.0,49.843174,0.037890,50.000000,0.000893
44.0,50.422928,0.028482,50.000000,0.000672
45.0,50.830154,0.019511,50.000000,0.000506
46.0,51.080311,0.013503,50.000000,0.000395
47.0,51.941650,0.010233,50.000000,0.000064
48.0,52.169312,-0.003202,50.000000,-0.000045
49.0,51.322212,-0.007409,50.000000,0.000228
50.0,50.945068,0.007024,50.000000,0.000359
51.0,50.081165,0.010361,50.000000,0.000658
52.0,49.934418,0.023140,50.000000,0.000713
53.0,49.400650,0.024776,50.000000,0.000906
54.0,49.553101,0.033529,50.000000,0.000864
55.0,49.253796,0.031115,50.000000,0.000984
56.0,49.538750,0.037080,50.000000,0.000898
57.0,50.006596,0.031706,50.000000,0.000734
58.0,50.468803,0.025089,50.000000,0.000567
59.0,50.833080,0.018530,50.000000,0.000430
60.0,51.800964,0.012891,50.000000,0.000072
61.0,52.095810,-0.001611,50.000000,-0.000061
62.0,52.055454,-0.005605,50.000000,-0.000065
63.0,52.578362,-0.006418,50.000000,-0.000276
64.0,52.523201,-0.014501,50.000000,-0.000283
65.0,52.238762,-0.013180,50.000000,-0.000199
66.0,51.903564,-0.009846,50.000000,-0.000091
67.0,51.621704,-0.004248,50.000000,0.000004
68.0,51.403870,-0.000904,50.000000,0.000073
69.0,51.286358,0.002441,50.000000,0.000115
70.0,50.510204,0.004855,50.000000,0.000399
71.0,50.323544,0.016101,50.000000,0.000479
72.0,51.155552,0.017753,50.000000,0.000187
73.0,51.533840,0.004561,50.000000,0.000040
74.0,51.664726,0.001386,50.000000,-0.000009
75.0,51.617245,-0.002791,50.000000,-0.000006
76.0,51.525803,-0.000929,50.000000,0.000021
77.0,52.149086,-0.000382,50.000000,-0.000212
78.0,52.247803,-0.009438,50.000000,-0.000259
79.0,52.074463,-0.011876,50.000000,-0.000213
80.0,51.833134,-0.008808,50.000000,-0.000134
81.0,51.599079,-0.005809,50.000000,-0.000058
82.0,51.430138,-0.002922,50.000000,0.000001
83.0,51.305954,-0.001065,50.000000,0.000040
84.0,51.260788,0.002312,50.000000,0.000061
85.0,51.227459,0.002342,50.000000,0.000070
86.0,51.944344,0.001683,50.000000,-0.000191
87.0,52.131248,-0.008835,50.000000,-0.000266
88.0,52.017300,-0.012084,50.000000,-0.000241
89.0,51.817360,-0.009666,50.000000,-0.000177
90.0,51.606792,-0.007333,50.000000,-0.000108
91.0,51.443398,-0.003303,50.000000,-0.000051
92.0,51.338211,-0.001595,50.000000,-0.000013
93.0,50.537560,-0.000876,50.000000,0.000273
94.0,50.339718,0.011417,50.000000,0.000355
95.0,50.458271,0.015211,50.000000,0.000328
96.0,50.678444,0.013047,50.000000,0.000259
97.0,50.163891,0.009441,50.000000,0.000446
98.0,50.162014,0.017048,50.000000,0.000456
99.0,50.385632,0.016820,50.000000,0.000382
100.0,50.675819,0.014439,50.000000,0.000284
101.0,50.183510,0.009295,50.000000,0.000458
102.0,50.173786,0.015817,50.000000,0.000462
103.0,49.674805,0.017229,50.000000,0.000648
104.0,49.781948,0.024150,50.000000,0.000622
105.0,49.396606,0.022540,50.000000,0.000767
106.0,49.579189,0.026252,50.000000,0.000700
107.0,49.310017,0.026820,50.000000,0.000811
108.0,48.846664,0.029554,50.000000,0.000986
109.0,48.423061,0.037809,50.000000,0.001159
110.0,48.799084,0.043135,50.000000,0.001038
111.0,48.760105,0.038691,50.000000,0.001067
112.0,48.504768,0.038512,50.000000,0.001165
113.0,48.249580,0.043866,50.000000,0.001276
114.0,47.983742,0.045465,50.000000,0.001375
115.0,47.828587,0.050938,50.000000,0.001450
116.0,48.449886,0.050854,50.000000,0.001240
117.0,48.576458,0.044319,50.000000,0.001203
118.0,48.448238,0.042733,50.000000,0.001256
119.0,48.249752,0.046049,50.000000,0.001342
120.0,48.030117,0.047820,50.000000,0.001429
121.0,47.846798,0.050384,50.000000,0.001501
122.0,47.733524,0.053119,50.000000,0.001553
123.0,47.664268,0.055230,50.000000,0.001587
124.0,47.651478,0.057885,50.000000,0.001609
125.0,48.365372,0.057292,50.000000,0.001361
126.0,48.541401,0.047232,50.000000,0.001299
127.0,48.443962,0.045385,50.000000,0.001337
128.0,48.933014,0.043415,50.000000,0.001152
129.0,48.910477,0.039752,50.000000,0.001160
130.0,48.622646,0.038692,50.000000,0.001257
131.0,49.017879,0.043274,50.000000,0.001112
132.0,48.916092,0.037691,50.000000,0.001145
133.0,49.344692,0.039614,50.000000,0.000992
134.0,49.195866,0.034048,50.000000,0.001044
135.0,49.530991,0.034943,50.000000,0.000920
136.0,49.280651,0.029245,50.000000,0.000998
137.0,48.857216,0.035027,50.000000,0.001155
138.0,48.424564,0.041436,50.000000,0.001320
139.0,48.795094,0.046721,50.000000,0.001193
140.0,48.738010,0.042244,50.000000,0.001220
141.0,48.499187,0.043613,50.000000,0.001314
142.0,48.958157,0.048197,50.000000,0.001161
143.0,48.894733,0.039592,50.000000,0.001186
144.0,49.352413,0.042148,50.000000,0.001028
145.0,49.188293,0.033896,50.000000,0.001079
146.0,49.536343,0.037078,50.000000,0.000953
147.0,50.036594,0.032224,50.000000,0.000770
148.0,50.500919,0.025020,50.000000,0.000595
149.0,50.833683,0.016978,50.000000,0.000456
150.0,51.043411,0.011430,50.000000,0.000357
151.0,51.192730,0.009685,50.000000,0.000294
152.0,51.250946,0.007185,50.000000,0.000257
153.0,51.242413,0.004479,50.000000,0.000236
154.0,50.521149,0.005805,50.000000,0.000486
155.0,50.345387,0.016761,50.000000,0.000549
156.0,50.429474,0.017969,50.000000,0.000512
157.0,49.911350,0.017382,50.000000,0.000697
158.0,49.964890,0.025703,50.000000,0.000687
159.0,49.515392,0.024245,50.000000,0.000851
160.0,49.682732,0.031207,50.000000,0.000804
161.0,50.057339,0.026561,50.000000,0.000668
162.0,50.473598,0.022807,50.000000,0.000517
163.0,50.825092,0.017602,50.000000,0.000389
164.0,51.063744,0.012204,50.000000,0.000297
165.0,51.188911,0.007610,50.000000,0.000238
166.0,51.265400,0.006706,50.000000,0.000204
167.0,51.269775,0.004648,50.000000,0.000186
168.0,52.003471,0.004245,50.000000,-0.000086
169.0,52.159809,-0.006689,50.000000,-0.000162
170.0,52.026623,-0.009694,50.000000,-0.000137
171.0,51.803936,-0.007484,50.000000,-0.000072
172.0,51.590595,-0.004055,50.000000,-0.000004
173.0,50.697933,-0.000876,50.000000,0.000312
174.0,50.405685,0.011280,50.000000,0.000420
175.0,50.449257,0.016113,50.000000,0.000409
176.0,50.633102,0.014535,50.000000,0.000345
177.0,50.869034,0.013770,50.000000,0.000271
178.0,51.050667,0.009707,50.000000,0.000207
179.0,51.182312,0.007544,50.000000,0.000162
180.0,51.222187,0.002960,50.000000,0.000134
181.0,51.263512,0.004249,50.000000,0.000117
182.0,51.995396,0.002450,50.000000,-0.000155
183.0,52.903915,-0.007616,50.000000,-0.000494
184.0,52.948090,-0.022230,50.000000,-0.000538
185.0,52.634308,-0.021274,50.000000,-0.000440
186.0,52.899246,-0.020004,50.000000,-0.000561
187.0,51.942127,-0.023314,50.000000,-0.000241
188.0,51.402382,-0.007444,50.000000,-0.000043
189.0,49.644520,-0.002345,50.000000,0.000584
190.0,49.957870,0.025689,50.000000,0.000502
191.0,49.627674,0.019605,50.000000,0.000633
192.0,49.824444,0.023838,50.000000,0.000578
193.0,50.214890,0.022234,50.000000,0.000450
194.0,49.898609,0.018876,50.000000,0.000579
195.0,50.007416,0.020130,50.000000,0.000541
196.0,50.334480,0.020563,50.000000,0.000434
197.0,50.658630,0.014770,50.000000,0.000316
198.0,50.930546,0.009845,50.000000,0.000217
199.0,51.842133,0.006395,50.000000,-0.000116
200.0,52.859001,-0.005660,50.000000,-0.000495
201.0,52.937798,-0.024237,50.000000,-0.000562
202.0,52.638962,-0.022573,50.000000,-0.000477
203.0,51.494675,-0.019357,50.000000,-0.000077
204.0,50.930729,0.000000,50.000000,0.000126
205.0,50.719181,0.003300,50.000000,0.000197
206.0,50.025116,0.008111,50.000000,0.000453
207.0,49.249687,0.017946,50.000000,0.000748
208.0,48.578735,0.028150,50.000000,0.001006
209.0,48.141098,0.041350,50.000000,0.001199
210.0,47.855354,0.046717,50.000000,0.001331
211.0,47.697670,0.051842,50.000000,0.001413
212.0,47.638981,0.053600,50.000000,0.001461
