t_ms,M1_speed_ref,M1_speed_fb,M1_iq_ref,M1_iq,M1_mech_angle,M2_speed_ref,M2_speed_fb,M2_iq_ref,M2_iq,M2_mech_angle
0.0,0.000000,-0.016045,0.000000,0.000926,1.811248,0.000000,-0.041497,0.000000,-0.000915,5.811486
5.0,0.000000,-0.029549,0.000000,-0.001469,1.811248,0.000000,0.000440,0.000000,0.001519,5.811486
10.0,0.000000,-0.006825,0.000000,0.000926,1.811248,0.000000,0.001738,0.000000,-0.001519,5.811486
15.0,0.000000,0.020688,0.000000,-0.000543,1.811248,0.000000,0.029822,0.000000,0.001519,5.811486
20.0,0.000000,0.000205,0.000000,0.000543,1.811248,0.000000,-0.022057,0.000000,-0.001519,5.811486
25.0,0.000000,0.015897,0.000000,-0.000160,1.811248,0.000000,-0.007194,0.000000,-0.000311,5.811486
30.0,0.000000,-0.035625,0.000000,0.001469,1.811248,0.000000,-0.020023,0.000000,-0.000915,5.811486
35.0,0.000000,0.007515,0.000000,0.000926,1.811248,0.000000,-0.017304,0.000000,0.000604,5.811486
40.0,0.000000,0.002542,0.000000,0.000543,1.811248,0.000000,0.014015,0.000000,0.000000,5.811486
45.0,0.000000,-0.018537,0.000000,0.001086,1.811248,0.000000,0.023092,0.000000,0.000000,5.811486
50.0,0.000000,-0.000935,0.000000,-0.000000,1.811248,0.000000,-0.011201,0.000000,0.000000,5.811486
55.0,0.000000,0.023228,0.000000,-0.001469,1.811248,0.000000,0.019721,0.000000,0.000604,5.811486
60.0,0.000000,-0.007310,0.000000,-0.000000,1.811248,0.000000,-0.016834,0.000000,0.000000,5.811486
65.0,0.000000,-0.005345,0.000000,0.001469,1.811248,0.000000,0.022429,0.000000,0.000604,5.811486
70.0,0.000000,0.010624,0.000000,-0.000543,1.811248,0.000000,-0.008621,0.000000,0.000915,5.811486
75.0,0.000000,0.001627,0.000000,-0.000383,1.811248,0.000000,0.005555,0.000000,0.000293,5.811486
80.0,0.000000,-0.016833,0.000000,0.000383,1.811248,0.000000,-0.032589,0.000000,0.000000,5.811486
85.0,0.000000,0.028516,0.000000,0.000926,1.811248,0.000000,-0.008701,0.000000,0.001812,5.811486
90.0,0.000000,-0.015659,0.000000,0.000926,1.811248,0.000000,0.012856,0.000000,0.000000,5.811486
95.0,0.000000,0.021077,0.000000,0.001469,1.811248,0.000000,-0.009625,0.000000,0.000604,5.811486
100.0,0.000000,-0.018566,0.000000,0.001469,1.811248,0.000000,-0.027053,0.000000,0.000000,5.811486
105.0,0.000000,0.004637,0.000000,0.001469,1.811248,0.000000,0.046434,0.000000,0.000000,5.811486
110.0,0.000000,-0.023464,0.000000,0.000926,1.811248,0.000000,-0.023037,0.000000,0.000000,5.811486
115.0,0.000000,0.016711,0.000000,-0.000383,1.811248,0.000000,-0.018163,0.000000,0.001519,5.811486
120.0,0.000000,-0.018566,0.000000,0.001469,1.811248,0.000000,-0.027053,0.000000,0.000000,5.811486
125.0,0.000000,0.004637,0.000000,0.001469,1.811248,0.000000,0.046434,0.000000,0.000000,5.811486
130.0,0.000000,-0.023464,0.000000,0.000926,1.811248,0.000000,-0.023037,0.000000,0.000000,5.811486
135.0,0.000000,0.016711,0.000000,-0.000383,1.811248,0.000000,-0.018163,0.000000,0.001519,5.811486
140.0,0.000000,-0.009775,0.000000,0.000926,1.811248,0.000000,-0.004094,0.000000,-0.001519,5.811486
145.0,0.000000,-0.005714,0.000000,-0.000000,1.811248,0.000000,0.024501,0.000000,0.000000,5.811486
150.0,0.000000,-0.012465,0.000000,-0.000000,1.811248,0.000000,0.018363,0.000000,0.000000,5.811486
155.0,0.000000,0.010173,0.000000,0.000543,1.811248,0.000000,-0.009281,0.000000,0.002434,5.811486
160.0,0.000000,0.001306,0.000000,-0.000543,1.811248,0.000000,-0.033402,0.000000,0.000000,5.811486
165.0,0.000000,-0.001138,0.000000,-0.000926,1.811248,0.000000,-0.000320,0.000000,0.001519,5.811486
170.0,0.000000,-0.017407,0.000000,0.001852,1.811248,0.000000,-0.022238,0.000000,0.000604,5.811486
175.0,0.000000,0.002128,0.000000,0.000926,1.811248,0.000000,-0.012535,0.000000,-0.000311,5.811486
180.0,0.000000,0.004739,0.000000,-0.000926,1.811248,0.000000,-0.002040,0.000000,0.000000,5.811486
185.0,0.000000,0.006883,0.000000,-0.000000,1.811248,0.000000,0.021450,0.000000,0.000604,5.811486
190.0,0.000000,0.011512,0.000000,0.000383,1.811248,0.000000,-0.034841,0.000000,0.000915,5.811486
195.0,0.000000,-0.004297,0.000000,0.000543,1.811248,0.000000,0.020202,0.000000,0.001208,5.811486
200.0,0.000000,0.018331,0.000000,-0.000926,1.811248,0.000000,-0.001086,0.000000,0.000915,5.811486
205.0,0.000000,0.002248,0.000000,-0.000160,1.811248,0.000000,-0.019651,0.000000,0.000604,5.811486
210.0,0.000000,0.005468,0.000000,-0.000000,1.811248,0.000000,-0.038951,0.000000,0.000000,5.811486
215.0,0.000000,-0.009119,0.000000,0.001469,1.811248,0.000000,0.014165,0.000000,0.000604,5.811486
220.0,0.000000,-0.002943,0.000000,-0.000000,1.811248,0.000000,-0.007750,0.000000,-0.002434,5.811486
225.0,0.000000,-0.028611,0.000000,-0.000543,1.811248,0.000000,0.009155,0.000000,-0.001830,5.811486
230.0,0.000000,-0.004391,0.000000,-0.000383,1.811248,0.000000,0.010623,0.000000,0.000000,5.811486
235.0,0.000000,-0.007665,0.000000,-0.000543,1.811248,0.000000,-0.021506,0.000000,0.000604,5.811486
240.0,0.000000,0.018637,0.000000,0.000926,1.811248,0.000000,0.021678,0.000000,0.000000,5.811486
245.0,0.000000,0.016379,0.000000,0.000383,1.811248,0.000000,0.013394,0.000000,0.000000,5.811486
250.0,0.000000,-0.015987,0.000000,-0.000000,1.811248,0.000000,-0.009311,0.000000,-0.000604,5.811486
255.0,0.000000,0.022255,0.000000,-0.000000,1.811248,0.000000,-0.006478,0.000000,-0.000311,5.811486
260.0,0.000000,-0.005711,0.000000,0.000543,1.811248,0.000000,0.019280,0.000000,-0.000915,5.811486
265.0,0.000000,-0.008324,0.000000,-0.000926,1.811248,0.000000,0.001757,0.000000,-0.001519,5.811486
270.0,0.000000,0.020663,0.000000,0.000543,1.811248,0.000000,0.039777,0.000000,0.001519,5.811486
275.0,0.000000,-0.006305,0.000000,-0.000926,1.811248,0.000000,0.001239,0.000000,-0.000604,5.811486
280.0,0.000000,-0.016603,0.000000,-0.000926,1.811248,0.000000,-0.037810,0.000000,0.000604,5.811486
285.0,0.000000,0.012510,0.000000,0.000543,1.811248,0.000000,0.009862,0.000000,0.000915,5.811486
290.0,0.000000,-0.001971,0.000000,-0.000000,1.811248,0.000000,0.015253,0.000000,0.001208,5.811486
295.0,0.000000,-0.003649,0.000000,-0.000000,1.811248,0.000000,0.001231,0.000000,0.001226,5.811486
300.0,0.000000,0.019012,0.000000,-0.000000,1.811248,0.000000,0.007640,0.000000,0.002434,5.811486
305.0,0.000000,0.007144,0.000000,0.000543,1.811248,0.000000,-0.043836,0.000000,-0.001519,5.811486
310.0,0.000000,0.008090,0.000000,0.000926,1.811248,0.000000,0.029085,0.000000,0.002434,5.811486
315.0,0.000000,0.003473,0.000000,-0.000926,1.811248,0.000000,0.006491,0.000000,-0.000915,5.811486
320.0,0.000000,-0.007200,0.000000,0.000543,1.811248,0.000000,0.027713,0.000000,0.001208,5.811486
325.0,0.000000,-0.013752,0.000000,-0.000926,1.811248,0.000000,-0.014120,0.000000,0.000915,5.811486
330.0,0.000000,0.005533,0.000000,-0.000000,1.811248,0.000000,0.024862,0.000000,-0.001226,5.811486
335.0,0.000000,0.003473,0.000000,-0.000926,1.811248,0.000000,0.006491,0.000000,-0.000915,5.811486
340.0,0.000000,-0.007200,0.000000,0.000543,1.811248,0.000000,0.027713,0.000000,0.001208,5.811486
345.0,0.000000,-0.013752,0.000000,-0.000926,1.811248,0.000000,-0.014120,0.000000,0.000915,5.811486
350.0,0.000000,0.005533,0.000000,-0.000000,1.811248,0.000000,0.024862,0.000000,-0.001226,5.811486
355.0,0.000000,-0.025091,0.000000,-0.000000,1.811248,0.000000,0.004767,0.000000,-0.000604,5.811486
360.0,0.000000,-0.002300,0.000000,0.000926,1.811248,0.000000,0.011232,0.000000,0.000000,5.811486
365.0,0.000000,0.014661,0.000000,-0.000926,1.811248,0.000000,-0.024016,0.000000,0.001812,5.811486
370.0,0.000000,0.036849,0.000000,-0.000000,1.811248,0.000000,0.003900,0.000000,0.000604,5.811486
375.0,0.000000,-0.020112,0.000000,-0.000000,1.811248,0.000000,-0.001213,0.000000,0.000000,5.811486
380.0,0.000000,-0.005218,0.000000,0.000926,1.811248,0.000000,0.027613,0.000000,0.000000,5.811486
385.0,0.000000,-0.021257,0.000000,0.000926,1.811248,0.000000,-0.042538,0.000000,-0.000915,5.811486
390.0,0.000000,-0.010555,0.000000,-0.001852,1.811248,0.000000,-0.006388,0.000000,0.001519,5.811486
395.0,0.000000,0.016483,0.000000,-0.000000,1.811248,0.000000,0.021297,0.000000,-0.000915,5.811486
400.0,0.000000,0.005490,0.000000,-0.000160,1.811248,0.000000,0.008345,0.000000,0.001519,5.811486
405.0,0.000000,0.016034,0.000000,0.000926,1.811248,0.000000,-0.008061,0.000000,-0.000604,5.811486
410.0,0.000000,-0.009279,0.000000,-0.000543,1.811248,0.000000,-0.014281,0.000000,-0.000915,5.811486
415.0,0.000000,0.013649,0.000000,0.001469,1.811248,0.000000,0.038267,0.000000,0.000293,5.811486
420.0,0.000000,-0.004846,0.000000,0.000543,1.811248,0.000000,-0.020254,0.000000,0.000000,5.811486
425.0,0.000000,-0.011062,0.000000,-0.000543,1.811248,0.000000,-0.017533,0.000000,0.000000,5.811486
430.0,0.000000,0.008200,0.000000,-0.000000,1.811248,0.000000,-0.018618,0.000000,0.000604,5.811486
435.0,0.000000,0.007727,0.000000,-0.000000,1.811248,0.000000,-0.014593,0.000000,0.000915,5.811486
440.0,0.000000,-0.010928,0.000000,0.000926,1.811248,0.000000,0.004810,0.000000,0.001812,5.811486
445.0,0.000000,-0.001165,0.000000,0.000926,1.811248,0.000000,0.001963,0.000000,-0.002123,5.811486
450.0,0.000000,0.004419,0.000000,-0.000000,1.811248,0.000000,0.026815,0.000000,-0.000311,5.811486
455.0,0.000000,-0.006429,0.000000,0.000543,1.811248,0.000000,-0.013203,0.000000,0.002745,5.811486
460.0,0.000000,-0.005089,0.000000,-0.000000,1.811248,0.000000,0.001944,0.000000,0.001208,5.811486
465.0,0.000000,-0.002603,0.000000,-0.000000,1.811248,0.000000,0.004606,0.000000,-0.000604,5.811486
470.0,0.000000,0.034316,0.000000,0.000543,1.811248,0.000000,0.003409,0.000000,0.001519,5.811486
475.0,0.000000,0.022924,0.000000,-0.000000,1.811248,0.000000,-0.021229,0.000000,0.000000,5.811486
480.0,0.000000,0.006737,0.000000,-0.000543,1.811248,0.000000,0.061228,0.000000,0.000915,5.811486
485.0,0.000000,0.013259,0.000000,-0.002011,1.811248,0.000000,-0.028564,0.000000,0.000604,5.811486
490.0,0.000000,0.012734,0.000000,-0.000543,1.811248,0.000000,-0.018808,0.000000,-0.000604,5.811486
495.0,0.000000,-0.021843,0.000000,0.000926,1.811248,0.000000,0.019776,0.000000,0.001208,5.811486
500.0,0.000000,-0.011990,0.000000,0.000543,1.811248,0.000000,0.001153,0.000000,-0.001519,5.811486
505.0,0.000000,0.013590,0.000000,0.001852,1.811248,0.000000,-0.018715,0.000000,0.000000,5.811486
