t_ms,M1_speed_ref,M1_speed_fb,M1_iq_ref,M1_iq,M1_mech_angle,M2_speed_ref,M2_speed_fb,M2_iq_ref,M2_iq,M2_mech_angle
0.0,5.009596,0.009748,0.075498,0.074710,1.096029,0.000000,0.040812,0.000000,0.000164,1.150486
5.0,10.000000,4.556035,0.085683,0.085225,1.094495,0.000000,0.095816,0.000000,-0.000875,1.150486
10.0,10.000000,10.079146,0.003485,0.004240,1.089510,0.000000,0.150819,0.000000,-0.000164,1.150486
15.0,10.000000,9.453285,0.012801,0.012162,1.084524,0.000000,0.114886,0.000000,-0.000875,1.150486
20.0,10.000000,8.881889,0.021763,0.021850,1.079923,0.000000,0.112928,0.000000,0.000164,1.150486
25.0,10.000000,9.374457,0.014771,0.013932,1.074937,0.000000,0.121734,0.000000,-0.000711,1.150486
30.0,10.000000,10.024452,0.005404,0.005998,1.069952,0.000000,0.133020,0.000000,-0.000164,1.150486
35.0,10.000000,10.630052,-0.003750,-0.003316,1.064583,0.000000,0.107055,0.000000,-0.001039,1.150486
40.0,10.000000,8.934076,0.021968,0.022559,1.059981,0.000000,0.049639,0.000000,0.000711,1.150486
45.0,10.000000,10.328824,0.001195,0.001506,1.054612,0.000000,0.071689,0.000000,0.000000,1.150486
50.0,10.000000,9.748703,0.009953,0.009441,1.049626,0.000000,0.051526,0.000000,0.000711,1.150486
55.0,10.000000,9.448909,0.014645,0.014325,1.044641,0.000000,0.046247,0.000000,-0.001039,1.150486
60.0,10.000000,9.940570,0.007517,0.008266,1.039272,0.000000,0.015320,0.000000,0.000000,1.150486
65.0,10.000000,10.091324,0.005224,0.005401,1.034287,0.000000,0.015843,0.000000,0.001586,1.150486
70.0,10.000000,9.115283,0.020148,0.018816,1.029685,0.000000,0.018847,0.000000,0.000000,1.150486
75.0,10.000000,9.725433,0.011320,0.012019,1.024316,0.000000,0.045858,0.000000,0.002626,1.150486
80.0,10.000000,10.107106,0.005471,0.004165,1.018947,0.000000,0.038939,0.000000,0.000000,1.150486
85.0,10.000000,8.595988,0.028466,0.028300,1.014345,0.000000,0.047745,0.000000,-0.000875,1.150486
90.0,10.000000,9.062064,0.021935,0.022582,1.009743,0.000000,0.074757,0.000000,0.000000,1.150486
95.0,10.000000,9.440489,0.016538,0.016116,1.004374,0.000000,0.047151,0.000000,0.000000,1.150486
100.0,10.000000,9.408247,0.017100,0.016114,0.999772,0.000000,0.002980,0.000000,0.000875,1.150486
105.0,10.000000,9.355545,0.018247,0.018531,0.994403,0.000000,-0.003939,0.000000,-0.000875,1.150486
110.0,10.000000,10.045831,0.007816,0.008196,0.989418,0.000000,-0.003416,0.000000,0.000000,1.150486
115.0,10.000000,9.449628,0.016913,0.016105,0.984432,0.000000,-0.016137,0.000000,0.001750,1.150486
120.0,10.000000,10.563692,0.000307,-0.000153,0.979063,0.000000,-0.015614,0.000000,-0.000164,1.150486
125.0,10.000000,9.774780,0.012158,0.012309,0.974078,0.000000,-0.059786,0.000000,0.000875,1.150486
130.0,10.000000,9.617324,0.014616,0.015193,0.968709,0.000000,-0.119682,0.000000,-0.000164,1.150486
135.0,10.000000,9.341945,0.019058,0.019476,0.964107,0.000000,-0.108218,0.000000,0.001914,1.150486
140.0,10.000000,9.884882,0.011077,0.011250,0.959122,0.000000,-0.026725,0.000000,-0.000164,1.150486
145.0,10.000000,9.686000,0.014436,0.015537,0.954136,0.000000,0.005111,0.000000,0.000164,1.150486
150.0,10.000000,9.338300,0.020022,0.020723,0.949151,0.000000,0.036107,0.000000,-0.000164,1.150486
155.0,10.000000,9.270704,0.021227,0.021444,0.944549,0.000000,0.091951,0.000000,0.000000,1.150486
160.0,10.000000,8.564446,0.032430,0.032724,0.939947,0.000000,0.128749,0.000000,-0.000164,1.150486
165.0,10.000000,10.340829,0.005963,0.007436,0.934578,0.000000,0.146500,0.000000,0.000875,1.150486
170.0,10.000000,9.868782,0.013174,0.012571,0.929592,0.000000,0.079116,0.000000,0.000000,1.150486
175.0,10.000000,9.335769,0.021529,0.020019,0.924607,0.000000,0.045708,0.000000,0.001039,1.150486
180.0,10.000000,10.877150,-0.001738,-0.000929,0.919238,0.000000,0.054514,0.000000,0.000000,1.150486
185.0,10.000000,9.134409,0.024709,0.024925,0.914636,0.000000,0.087328,0.000000,-0.000711,1.150486
190.0,10.000000,9.861059,0.014009,0.013126,0.909267,0.000000,0.056401,0.000000,0.000000,1.150486
195.0,10.000000,10.067226,0.010795,0.010361,0.903898,0.000000,0.061886,0.000000,0.000875,1.150486
200.0,10.000000,10.006702,0.011739,0.012498,0.898913,0.000000,0.044203,0.000000,0.000000,1.150486
205.0,10.000000,9.854793,0.014227,0.014324,0.893544,0.000000,0.024039,0.000000,0.000164,1.150486
210.0,10.000000,10.086287,0.010567,0.009831,0.888558,0.000000,0.003876,0.000000,0.000000,1.150486
215.0,10.000000,9.806198,0.015188,0.015654,0.883573,0.000000,-0.027051,0.000000,0.001039,1.150486
220.0,10.000000,9.856222,0.014450,0.014058,0.878204,0.000000,-0.026528,0.000000,0.000000,1.150486
225.0,10.000000,9.377871,0.021666,0.022000,0.873219,0.000000,-0.050013,0.000000,0.000875,1.150486
230.0,10.000000,9.252874,0.023762,0.023484,0.868617,0.000000,-0.054451,0.000000,0.000000,1.150486
235.0,10.000000,10.017785,0.012445,0.012157,0.863248,0.000000,-0.085378,0.000000,0.000000,1.150486
240.0,10.000000,10.603326,0.003627,0.005622,0.857879,0.000000,-0.087336,0.000000,-0.001039,1.150486
245.0,10.000000,9.834163,0.015279,0.015311,0.852893,0.000000,-0.138949,0.000000,-0.001039,1.150486
250.0,10.000000,9.862144,0.015087,0.016107,0.847908,0.000000,-0.068308,0.000000,0.000000,1.150486
255.0,10.000000,10.467486,0.005940,0.006498,0.842539,0.000000,-0.057999,0.000000,0.000711,1.150486
260.0,10.000000,9.532040,0.019996,0.019428,0.837554,0.000000,-0.000515,0.000000,-0.000164,1.150486
265.0,10.000000,9.780863,0.016608,0.017081,0.832185,0.000000,0.025520,0.000000,0.000000,1.150486
270.0,10.000000,10.068137,0.012104,0.010725,0.826816,0.000000,0.041631,0.000000,0.000000,1.150486
275.0,10.000000,10.273884,0.009040,0.009844,0.821830,0.000000,0.109879,0.000000,0.000711,1.150486
280.0,10.000000,10.678983,0.002859,0.003354,0.816078,0.000000,0.136754,0.000000,0.000000,1.150486
285.0,10.000000,9.472207,0.020812,0.021940,0.811476,0.000000,0.095991,0.000000,0.000164,1.150486
290.0,10.000000,11.127399,-0.003975,-0.002740,0.805723,0.000000,0.083270,0.000000,-0.000875,1.150486
295.0,10.000000,9.822700,0.015469,0.014624,0.800738,0.000000,0.063106,0.000000,-0.000164,1.150486
300.0,10.000000,10.545716,0.004694,0.006101,0.794986,0.000000,0.032179,0.000000,-0.000875,1.150486
305.0,10.000000,10.811106,0.000025,0.001984,0.789617,0.000000,0.027741,0.000000,-0.000711,1.150486
310.0,10.000000,9.619326,0.018205,0.017662,0.784631,0.000000,-0.027194,0.000000,0.000000,1.150486
315.0,10.000000,11.006899,-0.002943,-0.002792,0.778495,0.000000,-0.053159,0.000000,0.000000,1.150486
320.0,10.000000,10.970613,-0.002898,-0.002790,0.773126,0.000000,-0.062559,0.000000,-0.000164,1.150486
325.0,10.000000,10.601706,0.002491,0.002784,0.767374,0.000000,-0.062036,0.000000,0.000000,1.150486
330.0,10.000000,11.877834,-0.017275,-0.016823,0.761621,0.000000,-0.087161,0.000000,0.000875,1.150486
335.0,10.000000,9.095382,0.024341,0.021643,0.756636,0.000000,-0.046905,0.000000,0.000164,1.150486
340.0,10.000000,10.928740,-0.003246,-0.001524,0.750884,0.000000,-0.038099,0.000000,0.000875,1.150486
345.0,10.000000,10.453872,0.003365,0.003991,0.745515,0.000000,-0.100476,0.000000,0.000328,1.150486
350.0,10.000000,10.572923,0.001528,0.001794,0.739762,0.000000,-0.070143,0.000000,0.001586,1.150486
355.0,10.000000,10.222467,0.006559,0.006696,0.734393,0.000000,-0.098589,0.000000,0.001039,1.150486
360.0,10.000000,10.087976,0.008360,0.008095,0.729024,0.000000,-0.103028,0.000000,0.000000,1.150486
365.0,10.000000,10.169493,0.007067,0.007244,0.724039,0.000000,-0.112428,0.000000,-0.000875,1.150486
370.0,10.000000,9.695079,0.014302,0.014621,0.718670,0.000000,-0.098483,0.000000,0.000000,1.150486
375.0,10.000000,10.908253,-0.004162,-0.003988,0.713301,0.000000,-0.048441,0.000000,0.000164,1.150486
380.0,10.000000,9.086641,0.023322,0.022583,0.708699,0.000000,-0.001720,0.000000,0.001367,1.150486
385.0,10.000000,10.064079,0.008992,0.008865,0.703330,0.000000,0.024314,0.000000,0.000164,1.150486
390.0,10.000000,9.621980,0.015419,0.014495,0.697961,0.000000,0.116570,0.000000,-0.000875,1.150486
395.0,10.000000,9.969408,0.010351,0.010618,0.692976,0.000000,0.140124,0.000000,0.000000,1.150486
400.0,10.000000,9.445417,0.018161,0.018677,0.687990,0.000000,0.128463,0.000000,0.000000,1.150486
405.0,10.000000,8.963327,0.026093,0.026054,0.683388,0.000000,0.052842,0.000000,0.000164,1.150486
410.0,10.000000,10.392682,0.004741,0.005634,0.678020,0.000000,0.013632,0.000000,-0.000875,1.150486
415.0,10.000000,9.490422,0.018305,0.018608,0.673034,0.000000,-0.004051,0.000000,0.000000,1.150486
420.0,10.000000,9.033201,0.025585,0.023695,0.668432,0.000000,-0.027536,0.000000,0.000000,1.150486
425.0,10.000000,9.288816,0.021999,0.023226,0.663063,0.000000,-0.052661,0.000000,0.000000,1.150486
430.0,10.000000,9.182730,0.023723,0.023184,0.658461,0.000000,-0.054618,0.000000,0.000164,1.150486
