t_ms,M1_pos_ref,M1_pos_est,M1_speed_fb,M1_iq,M1_speed_ref,M2_pos_ref,M2_pos_est,M2_speed_fb,M2_iq,M2_speed_ref
0.0,1.745329,1.746304,-0.304863,-0.004256,-0.204678,0.000000,5.263853,-0.009006,-0.000000,0.000000
5.0,inf,1.745329,1.746366,-0.202723,-0.011068,-0.217695,0.000000,5.263854,-0.003959,0.000597
10.0,0.000000,inf,1.745329,1.744965,-0.749286,0.031083,0.076554,0.000000,5.263857,0.008417
15.0,-0.000000,0.000000,inf,1.745329,1.744318,-0.286860,0.033846,0.212288,0.000000,5.263859
20.0,0.013864,0.000917,0.000000,inf,1.745329,1.744289,0.374258,0.010361,0.218471,0.000000
25.0,5.263859,0.012973,-0.000000,0.000000,inf,1.745329,1.744410,0.296347,0.012203,0.193062
30.0,0.000000,5.263855,-0.003455,0.000917,0.000000,inf,1.745329,1.745920,0.733819,-0.028098
35.0,-0.124143,0.000000,5.263855,0.006124,0.001514,0.000000,inf,1.745329,1.746561,0.233087
40.0,-0.029022,-0.258651,0.000000,5.263858,0.011139,-0.000917,0.000000,inf,1.745329,1.746650
45.0,-0.413021,-0.007590,-0.277451,0.000000,5.263855,0.000625,0.000320,0.000000,inf,1.745329
50.0,1.745817,-0.693826,0.020148,-0.102389,0.000000,5.263855,-0.003487,0.000597,0.000000,inf
55.0,1.745329,1.744260,-0.470607,0.044547,0.224530,0.000000,5.263862,0.021288,-0.000597,0.000000
60.0,inf,1.745329,1.743978,0.195510,0.023484,0.283835,0.000000,5.263855,-0.004650,-0.000000
65.0,0.000000,inf,1.745329,1.744516,0.624102,0.005180,0.170882,0.000000,5.263849,-0.022068
70.0,-0.000000,0.000000,inf,1.745329,1.745594,0.762453,-0.028664,-0.055676,0.000000,5.263854
75.0,-0.004639,0.000320,0.000000,inf,1.745329,1.746586,0.031072,-0.027176,-0.263833,0.000000
80.0,5.263857,0.005700,-0.000917,0.000000,inf,1.745329,1.746645,-0.370025,-0.009794,-0.276350
85.0,0.000000,5.263855,-0.000134,-0.000000,0.000000,inf,1.745329,1.745476,-0.817397,0.019226
90.0,-0.030767,0.000000,5.263854,-0.005737,-0.000000,0.000000,inf,1.745329,1.744509,-0.622624
95.0,0.042366,0.172158,0.000000,5.263854,-0.006725,-0.000000,0.000000,inf,1.745329,1.743968
100.0,0.220511,0.023143,0.285913,0.000000,5.263858,0.008865,-0.000917,0.000000,inf,1.745329
105.0,1.744009,0.393141,0.016463,0.277251,0.000000,5.263859,0.010322,-0.000000,0.000000,inf
110.0,1.745329,1.745603,0.831973,-0.027529,-0.057578,0.000000,5.263853,-0.010553,-0.000000,0.000000
115.0,inf,1.745329,1.746438,0.346403,-0.031072,-0.232841,0.000000,5.263851,-0.014067,-0.000597
120.0,0.000000,inf,1.745329,1.746645,-0.367528,-0.009434,-0.276225,0.000000,5.263853,-0.008841
125.0,0.000917,0.000000,inf,1.745329,1.746121,-0.582196,0.009438,-0.166301,0.000000,5.263856
130.0,0.003086,-0.000000,0.000000,inf,1.745329,1.744634,-0.648574,0.039026,0.145948,0.000000
135.0,5.263858,0.008135,-0.000917,0.000000,inf,1.745329,1.744046,-0.100530,0.032925,0.269465
140.0,0.000000,5.263855,-0.000310,-0.000917,0.000000,inf,1.745329,1.744024,0.429745,0.019226
145.0,0.274072,0.000000,5.263854,-0.004061,0.000917,0.000000,inf,1.745329,1.744999,0.807264
