t_ms,tilt_angle,gyro_rate,balance_out,spd_fb_L,spd_fb_R,iq_L,iq_R,accel_X,accel_Y,accel_Z
2.6,-2.015195,-0.160932,0.000000,-0.019087,-0.005573,-0.000000,-0.001295,0.000000,-0.050781,1.147461
2.6,-2.021137,-0.121809,0.000000,0.000034,-0.033364,-0.000093,0.000902,-0.001465,-0.049316,1.129395
2.6,-2.021239,-0.127556,0.000000,0.047310,-0.004729,0.001604,0.000648,-0.005371,-0.035156,1.169922
2.6,-2.025406,-0.504793,0.000000,0.040309,0.002094,-0.000000,0.000648,-0.001465,-0.027344,1.165527
2.6,-2.018994,-0.393628,0.000000,-0.001676,0.021918,-0.000000,0.000648,-0.005371,-0.027832,1.164062
2.6,-2.020774,-0.454241,0.000000,-0.026143,0.023583,-0.000848,-0.000000,0.002441,-0.042969,1.148926
2.6,-2.018070,-0.515892,0.000000,-0.027113,0.321023,-0.000000,-0.000000,0.007812,-0.044434,1.118652
7.1,-2.016171,-0.289020,0.000000,-0.003096,0.399006,-0.000000,-0.000000,-0.010254,-0.034180,1.148438
7.1,-2.011411,-0.577887,0.000000,0.022079,0.204667,0.000848,-0.000000,0.000488,-0.035645,1.145020
7.1,-2.021261,-0.131061,0.000000,0.026947,-0.010914,-0.000093,-0.000000,0.003906,-0.054199,1.103516
7.1,-2.030572,-0.401085,0.000000,-0.000285,-0.112902,-0.000755,-0.000903,-0.006348,-0.043945,1.134766
7.1,-2.033901,-0.166930,0.000000,0.156150,-0.121709,-0.000000,-0.000000,-0.000488,-0.052246,1.139648
7.1,-2.042002,-0.031701,0.000000,0.723456,0.219877,-0.000000,-0.000000,0.001465,-0.037109,1.149902
7.1,-2.048800,0.005672,0.000000,0.974678,0.816692,0.000751,0.000642,-0.013672,-0.028320,1.154297
7.1,-2.057465,-0.005476,0.000000,1.260363,1.157185,-0.000000,0.000639,-0.004883,-0.030762,1.159668
7.1,-2.061843,-0.141345,0.000000,1.221732,1.509569,-0.000000,-0.000000,-0.003906,-0.048340,1.133789
7.1,-2.072338,0.005331,0.000000,1.123726,1.580251,-0.000000,-0.000000,-0.006348,-0.045898,1.142578
7.1,-2.082905,-0.252674,0.000000,0.889298,1.457193,-0.000000,0.000630,-0.008789,-0.056641,1.137695
7.1,-2.091850,-0.186649,0.000000,0.484876,1.258897,0.000857,-0.000000,-0.002930,-0.040527,1.148926
7.1,-2.101831,-0.319557,0.000000,0.344845,0.790504,-0.000000,-0.000000,-0.000488,-0.044922,1.142090
7.1,-2.116335,-0.626720,0.000000,0.015505,0.511308,-0.000000,-0.000000,-0.004395,-0.045898,1.146973
7.1,-2.120831,-0.195133,0.000000,-0.199952,0.255597,0.000742,0.000624,-0.015137,-0.037109,1.169434
7.1,-2.138889,-0.346750,0.000000,-0.145950,0.158963,0.000118,0.000622,0.007812,-0.054199,1.090820
7.1,-2.146956,-0.126372,0.000000,0.332561,0.190632,0.000741,-0.000288,0.004883,-0.045410,1.121582
7.1,-2.157853,-0.375577,0.000000,0.335131,0.009992,-0.000000,-0.000000,-0.002441,-0.037598,1.174805
7.1,-2.169336,-0.184116,0.000000,0.277934,0.294595,-0.000000,0.000291,-0.002930,-0.050293,1.144531
7.2,-2.178660,-0.363235,0.000000,0.820977,0.699416,-0.000000,0.000618,-0.000488,-0.044922,1.150391
7.2,-2.192550,-0.182390,0.000000,1.045777,0.759556,-0.000000,0.000617,-0.003418,-0.044434,1.151855
7.2,-2.203984,-0.007009,0.000000,1.077781,0.707641,-0.000733,-0.000000,-0.006836,-0.046875,1.121582
7.2,-2.208981,-0.043863,0.000000,1.230719,0.891602,-0.000132,-0.000913,-0.005371,-0.058594,1.139160
